Time (sec), Theta_0, Theta_1, Theta_2, Theta_3, Theta_4, ThetaDes_0, ThetaDes_1, ThetaDes_2, ThetaDes_3, ThetaDes_4
5.050000, 0.004200, 0.004200, 0.417652, -0.918217, -0.957535, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.050000, 0.001840, 0.001840, 0.417711, -0.918107, -0.957691, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.050000, 0.003618, 0.003618, 0.417770, -0.918245, -0.957836, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.051000, 0.001236, 0.001236, 0.417832, -0.918135, -0.957996, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.051000, 0.003006, 0.003006, 0.417895, -0.918273, -0.958146, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.051000, 0.000634, 0.000634, 0.417960, -0.918164, -0.958310, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.051000, 0.002373, 0.002373, 0.418026, -0.918301, -0.958464, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.052000, -0.000015, -0.000015, 0.418094, -0.918194, -0.958631, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.052000, 0.001724, 0.001724, 0.418163, -0.918331, -0.958789, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.052000, -0.000643, -0.000643, 0.418234, -0.918224, -0.958960, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.052000, 0.001080, 0.001080, 0.418305, -0.918360, -0.959122, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.052000, -0.001298, -0.001298, 0.418379, -0.918254, -0.959296, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.053000, 0.000416, 0.000416, 0.418453, -0.918391, -0.959461, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.053000, -0.001933, -0.001933, 0.418530, -0.918286, -0.959639, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.053000, -0.000221, -0.000221, 0.418607, -0.918421, -0.959806, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.053000, -0.002577, -0.002577, 0.418686, -0.918317, -0.959987, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.054000, -0.000870, -0.000870, 0.418765, -0.918452, -0.960157, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.054000, -0.003194, -0.003194, 0.418846, -0.918349, -0.960340, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.054000, -0.001486, -0.001486, 0.418928, -0.918484, -0.960513, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.054000, -0.003812, -0.003812, 0.419011, -0.918381, -0.960698, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.055000, -0.002106, -0.002106, 0.419095, -0.918515, -0.960873, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.055000, -0.004399, -0.004399, 0.419180, -0.918413, -0.961061, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.055000, -0.002687, -0.002687, 0.419266, -0.918547, -0.961237, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.055000, -0.004977, -0.004977, 0.419354, -0.918446, -0.961426, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.055000, -0.003265, -0.003265, 0.419441, -0.918579, -0.961605, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.056000, -0.005535, -0.005535, 0.419530, -0.918479, -0.961795, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.056000, -0.003813, -0.003813, 0.419619, -0.918612, -0.961975, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.056000, -0.006061, -0.006061, 0.419710, -0.918512, -0.962167, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.056000, -0.004336, -0.004336, 0.419801, -0.918644, -0.962348, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.056000, -0.006562, -0.006562, 0.419893, -0.918545, -0.962540, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.059000, -0.004841, -0.004841, 0.419984, -0.918677, -0.962722, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.059000, -0.007018, -0.007018, 0.420078, -0.918578, -0.962915, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.060000, -0.005251, -0.005251, 0.420171, -0.918710, -0.963097, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.060000, -0.007394, -0.007394, 0.420265, -0.918612, -0.963290, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.060000, -0.005625, -0.005625, 0.420359, -0.918743, -0.963473, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.060000, -0.007768, -0.007768, 0.420455, -0.918645, -0.963666, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.061000, -0.005996, -0.005996, 0.420549, -0.918776, -0.963849, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
